    PID TTY      STAT   TIME COMMAND
3180064 ?        Sl     0:15 /usr/lib/chromium/chromium --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --enable-auto-reload --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7985 --no-v8-untrusted-code-mitigations --shared-files
3180082 ?        Sl     0:02 /usr/lib/chromium/chromium --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --enable-auto-reload --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7986 --no-v8-untrusted-code-mitigations --shared-files
3180095 ?        Sl     0:12 /usr/lib/chromium/chromium --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --enable-auto-reload --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7987 --no-v8-untrusted-code-mitigations --shared-files
3180314 ?        Sl     0:01 AppImageLauncherSettings
3180398 ?        Sl     4:50 /usr/lib/firefox/firefox -contentproc -childID 28 -isForBrowser -prefsLen 10643 -prefMapSize 223943 -parentBuildID 20200603085854 -appdir /usr/lib/firefox/browser 3165232 true tab
3180467 ?        Ssl    0:04 /usr/bin/appimagelauncherd
3180492 ?        Ssl    0:00 /usr/bin/appimagelauncherfs
3180854 ?        S      0:00 bash /home/shane/.local/share/Steam/steam.sh
3181018 ?        Sl     2:29 /home/shane/.local/share/Steam/ubuntu12_32/steam
3181033 ?        Ss     0:00 /home/shane/.local/share/Steam/ubuntu12_32/steam
3181034 ?        S      0:00 /bin/bash /home/shane/.local/share/Steam/ubuntu12_64/steamwebhelper.sh -lang=en_US -cachedir=/home/shane/.local/share/Steam/config/htmlcache -steampid=3181018 -buildid=1591251555 -steamid=0 -steamuniverse=Public -clientui=/home/shane/.local/share/Steam/clientui --enable-blink-features=ResizeObserver,Worklet,AudioWorklet --enable-media-stream --enable-smooth-scrolling --password-store=basic --log-file=/home/shane/.local/share/Steam/logs/cef_log.txt
3181037 ?        Sl     0:08 ./steamwebhelper -lang=en_US -cachedir=/home/shane/.local/share/Steam/config/htmlcache -steampid=3181018 -buildid=1591251555 -steamid=0 -steamuniverse=Public -clientui=/home/shane/.local/share/Steam/clientui --enable-blink-features=ResizeObserver,Worklet,AudioWorklet --enable-media-stream --enable-smooth-scrolling --password-store=basic --log-file=/home/shane/.local/share/Steam/logs/cef_log.txt
3181047 ?        S      0:00 /home/shane/.local/share/Steam/ubuntu12_64/steamwebhelper --type=zygote --no-sandbox --log-file=/home/shane/.local/share/Steam/logs/cef_log.txt --product-version=Valve Steam Client --lang=en_US.UTF-8
3181061 ?        Sl     0:28 /home/shane/.local/share/Steam/ubuntu12_64/steamwebhelper --type=gpu-process --field-trial-handle=10042820946640296230,13787884745856764367,131072 --disable-features=MimeHandlerViewInCrossProcessFrame --no-sandbox --log-file=/home/shane/.local/share/Steam/logs/cef_log.txt --product-version=Valve Steam Client --lang=en_US.UTF-8 --gpu-preferences=KAAAAAAAAAAgAAAgAAAAAAAAYAAAAAAAEAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAA --log-file=/home/shane/.local/share/Steam/logs/cef_log.txt --service-request-channel-token=3430174508425612658
3181074 ?        Sl     0:00 /home/shane/.local/share/Steam/ubuntu12_64/steamwebhelper --type=utility --field-trial-handle=10042820946640296230,13787884745856764367,131072 --disable-features=MimeHandlerViewInCrossProcessFrame --lang=en-US --service-sandbox-type=network --no-sandbox --log-file=/home/shane/.local/share/Steam/logs/cef_log.txt --product-version=Valve Steam Client --lang=en_US.UTF-8 --log-file=/home/shane/.local/share/Steam/logs/cef_log.txt --service-request-channel-token=8719975540313280110 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
3181167 ?        Sl     0:00 /home/shane/.local/share/Steam/ubuntu12_64/steamwebhelper --type=renderer --no-sandbox --log-file=/home/shane/.local/share/Steam/logs/cef_log.txt --field-trial-handle=10042820946640296230,13787884745856764367,131072 --disable-features=MimeHandlerViewInCrossProcessFrame --enable-blink-features=ResizeObserver,Worklet,AudioWorklet --lang=en-US --log-file=/home/shane/.local/share/Steam/logs/cef_log.txt --product-version=Valve Steam Client --num-raster-threads=4 --enable-main-frame-before-activation --service-request-channel-token=12734460951519052211 --renderer-client-id=5 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
3181253 ?        Sl     0:08 /home/shane/.local/share/Steam/ubuntu12_64/steamwebhelper --type=renderer --no-sandbox --log-file=/home/shane/.local/share/Steam/logs/cef_log.txt --field-trial-handle=10042820946640296230,13787884745856764367,131072 --disable-features=MimeHandlerViewInCrossProcessFrame --enable-blink-features=ResizeObserver,Worklet,AudioWorklet --lang=en-US --log-file=/home/shane/.local/share/Steam/logs/cef_log.txt --product-version=Valve Steam Client --num-raster-threads=4 --enable-main-frame-before-activation --service-request-channel-token=9107621849018881576 --renderer-client-id=7 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
3181259 ?        Sl     0:41 /home/shane/.local/share/Steam/ubuntu12_64/steamwebhelper --type=renderer --no-sandbox --log-file=/home/shane/.local/share/Steam/logs/cef_log.txt --field-trial-handle=10042820946640296230,13787884745856764367,131072 --disable-features=MimeHandlerViewInCrossProcessFrame --enable-blink-features=ResizeObserver,Worklet,AudioWorklet --lang=en-US --log-file=/home/shane/.local/share/Steam/logs/cef_log.txt --product-version=Valve Steam Client --num-raster-threads=4 --enable-main-frame-before-activation --service-request-channel-token=7127652351121053833 --renderer-client-id=9 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
3193337 ?        Sl     0:12 /usr/lib/firefox/firefox -contentproc -childID 31 -isForBrowser -prefsLen 10643 -prefMapSize 223943 -parentBuildID 20200603085854 -appdir /usr/lib/firefox/browser 3165232 true tab
3193375 ?        Sl     3:07 /usr/lib/firefox/firefox -contentproc -childID 32 -isForBrowser -prefsLen 10643 -prefMapSize 223943 -parentBuildID 20200603085854 -appdir /usr/lib/firefox/browser 3165232 true tab
3193843 ?        Sl     3:14 /usr/lib/chromium/chromium --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --enable-auto-reload --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=8013 --no-v8-untrusted-code-mitigations --shared-files
3193866 ?        Sl     1:23 /usr/lib/chromium/chromium --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --enable-auto-reload --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=8014 --no-v8-untrusted-code-mitigations --shared-files
3196149 ?        Sl     0:11 /usr/lib/chromium/chromium --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --enable-auto-reload --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=8035 --no-v8-untrusted-code-mitigations --shared-files
3197225 ?        I      0:04 [kworker/0:1-events]
3197569 ?        I      0:04 [kworker/6:2-events]
3198895 ?        I      0:06 [kworker/u16:2-events_power_efficient]
3199029 ?        I      0:03 [kworker/1:2-mm_percpu_wq]
3199360 ?        I      0:07 [kworker/u16:6-events_unbound]
3199572 ?        I      0:03 [kworker/4:2-events]
3199747 ?        I      0:05 [kworker/u16:5-events_unbound]
3199926 ?        I      0:02 [kworker/3:0-events]
3200871 ?        I      0:00 [kworker/7:1-rcu_gp]
3201474 ?        I      0:00 [kworker/7:0-mm_percpu_wq]
3201822 ?        I      0:00 [kworker/1:0-events]
3201823 ?        I      0:00 [kworker/5:2-events]
3202176 ?        Sl     0:10 /usr/lib/firefox/firefox -contentproc -childID 39 -isForBrowser -prefsLen 10679 -prefMapSize 223943 -parentBuildID 20200603085854 -appdir /usr/lib/firefox/browser 3165232 true tab
3202418 ?        I      0:01 [kworker/u16:4-events_unbound]
3202498 ?        I      0:00 [kworker/3:1-events]
3202524 ?        I      0:00 [kworker/4:1-events]
3202530 ?        I      0:00 [kworker/0:0-rcu_gp]
3202548 ?        Sl     0:00 /usr/bin/docker-proxy -proto udp -host-ip 0.0.0.0 -host-port 5124 -container-ip 172.17.0.2 -container-port 5124
3202561 ?        Sl     0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 80 -container-ip 172.17.0.2 -container-port 80
3202567 ?        Sl     0:02 containerd-shim -namespace moby -workdir /var/lib/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/006b00c6933da91290d5484724009981cc99aff5594d99d644bec1b436421973 -address /var/run/docker/containerd/containerd.sock -containerd-binary /usr/bin/containerd -runtime-root /var/run/docker/runtime-runc
3202584 ?        Ss     0:00 /bin/bash apache2ctl -D FOREGROUND
3202661 ?        S      0:00 /usr/sbin/apache2 -D FOREGROUND
3202662 ?        S      0:00 /usr/sbin/apache2 -D FOREGROUND
3202663 ?        S      0:00 /usr/sbin/apache2 -D FOREGROUND
3202664 ?        S      0:00 /usr/sbin/apache2 -D FOREGROUND
3202665 ?        S      0:00 /usr/sbin/apache2 -D FOREGROUND
3202666 ?        S      0:00 /usr/sbin/apache2 -D FOREGROUND
3202726 ?        Sl     0:00 /usr/lib/firefox/firefox -contentproc -childID 40 -isForBrowser -prefsLen 10679 -prefMapSize 223943 -parentBuildID 20200603085854 -appdir /usr/lib/firefox/browser 3165232 true tab
3202781 pts/0    Ss     0:00 /bin/bash
3202802 ?        S      0:00 /usr/sbin/apache2 -D FOREGROUND
3202809 ?        S      0:00 /usr/sbin/apache2 -D FOREGROUND
3202921 ?        I      0:00 [kworker/6:1]
3202940 ?        I<     0:05 [kworker/u17:1-hci0]
3203157 ?        I      0:01 [kworker/u16:1-events_power_efficient]
3203485 ?        I      0:00 [kworker/2:0-events]
3203486 ?        I      0:00 [kworker/2:3-events]
3203494 ?        I<     0:01 [kworker/u17:2-hci0]
3203741 ?        S      0:00 sh -c ./startserver 40 1 40 0 1 1 1 0 9 0 3 "0" """" "atbp1994" """" "A Vagabond Server   " 1 "1" "5124" "" "/nwn/home"
3203742 ?        Sl     0:00 /usr/bin/expect -f ./startserver 40 1 40 0 1 1 1 0 9 0 3 0  atbp1994  A Vagabond Server    1 1 5124  /nwn/home
3203743 pts/1    Ss+    0:00 screen -S Akadia05 /var/www/nwn/run-server.sh -maxclients 40 -minlevel 1 -maxlevel 40 -pauseandplay 0 -pvp 1 -servervault 1 -elc 1 -ilr 0 -gametype 9 -oneparty 0 -difficulty 3 -autosaveinterval 0 -playerpassword  -dmpassword atbp1994 -adminpassword  -servername A Vagabond Server    -publicserver 1 -reloadwhenempty 1 -port 5124
3203747 ?        Ss     0:00 SCREEN -S Akadia05 /var/www/nwn/run-server.sh -maxclients 40 -minlevel 1 -maxlevel 40 -pauseandplay 0 -pvp 1 -servervault 1 -elc 1 -ilr 0 -gametype 9 -oneparty 0 -difficulty 3 -autosaveinterval 0 -playerpassword  -dmpassword atbp1994 -adminpassword  -servername A Vagabond Server    -publicserver 1 -reloadwhenempty 1 -port 5124
3203748 pts/2    Rsl+   8:48 /nwn/data/bin/linux-x86/nwserver-linux -maxclients 40 -minlevel 1 -maxlevel 40 -pauseandplay 0 -pvp 1 -servervault 1 -elc 1 -ilr 0 -gametype 9 -oneparty 0 -difficulty 3 -autosaveinterval 0 -playerpassword -dmpassword atbp1994 -adminpassword -servername A Vagabond Server -publicserver 1 -reloadwhenempty 1 -port 5124
3203751 pts/2    Z+     0:00 [run-server.sh] <defunct>
3203752 pts/2    S+     0:00 /bin/bash /var/www/nwn/run-server.sh -maxclients 40 -minlevel 1 -maxlevel 40 -pauseandplay 0 -pvp 1 -servervault 1 -elc 1 -ilr 0 -gametype 9 -oneparty 0 -difficulty 3 -autosaveinterval 0 -playerpassword  -dmpassword atbp1994 -adminpassword  -servername A Vagabond Server    -publicserver 1 -reloadwhenempty 1 -port 5124
3203754 pts/2    S+     0:00 /bin/bash /var/www/nwn/run-server.sh -maxclients 40 -minlevel 1 -maxlevel 40 -pauseandplay 0 -pvp 1 -servervault 1 -elc 1 -ilr 0 -gametype 9 -oneparty 0 -difficulty 3 -autosaveinterval 0 -playerpassword  -dmpassword atbp1994 -adminpassword  -servername A Vagabond Server    -publicserver 1 -reloadwhenempty 1 -port 5124
3203755 pts/2    S+     0:00 inotifywait -mq -e moved_to -e create /nwn/run --format %f
3203756 pts/2    S+     0:00 /bin/bash /var/www/nwn/run-server.sh -maxclients 40 -minlevel 1 -maxlevel 40 -pauseandplay 0 -pvp 1 -servervault 1 -elc 1 -ilr 0 -gametype 9 -oneparty 0 -difficulty 3 -autosaveinterval 0 -playerpassword  -dmpassword atbp1994 -adminpassword  -servername A Vagabond Server    -publicserver 1 -reloadwhenempty 1 -port 5124
3203757 pts/2    S+     0:00 inotifywait -mq -e close_write /nwn/run --format %f
3203758 pts/2    S+     0:00 /bin/bash /var/www/nwn/run-server.sh -maxclients 40 -minlevel 1 -maxlevel 40 -pauseandplay 0 -pvp 1 -servervault 1 -elc 1 -ilr 0 -gametype 9 -oneparty 0 -difficulty 3 -autosaveinterval 0 -playerpassword  -dmpassword atbp1994 -adminpassword  -servername A Vagabond Server    -publicserver 1 -reloadwhenempty 1 -port 5124
3203780 ?        I      0:00 [kworker/u16:0-events_power_efficient]
3203970 ?        S      0:00 /usr/sbin/apache2 -D FOREGROUND
3203987 pts/0    S      0:00 su www-data
3203988 pts/0    S+     0:00 bash
3204033 ?        Sl     0:00 /usr/lib/chromium/chromium --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --enable-auto-reload --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=8082 --no-v8-untrusted-code-mitigations --shared-files
3204064 ?        I      0:00 [kworker/4:0-events]
3204190 ?        S      0:00 /usr/sbin/apache2 -D FOREGROUND
3204278 ?        SNl    0:00 /usr/lib/tumbler-1/tumblerd
3204284 ?        S      0:00 file.so [kdeinit5] file local:/run/user/1000/klauncherDoFioc.1.slave-socket local:/run/user/1000/k3bkNFRAy.14.slave-socket
3204296 pts/3    Ss     0:00 bash
3204354 pts/3    S      0:00 su - shane
3204355 pts/3    S      0:00 -bash
3204405 pts/3    Sl+    0:00 docker exec -it 006b00c6933d /bin/bash
3204425 pts/3    Ss+    0:00 /bin/bash
3204962 ?        I<     0:00 [kworker/u17:0-hci0]
3205115 ?        Sl     0:00 /usr/lib/chromium/chromium --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --extension-process --enable-auto-reload --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=8083 --no-v8-untrusted-code-mitigations --shared-files
3205128 ?        Sl     0:00 /usr/lib/chromium/chromium --type=renderer --disable-webrtc-apm-in-audio-service --field-trial-handle=17149969810971708281,12768316327340235337,131072 --lang=en-US --enable-auto-reload --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=8084 --no-v8-untrusted-code-mitigations --shared-files
3205149 pts/2    R+     0:00 ps -ax
